name,google_url,categorie,address,phone,website,note,nb_avis,accessible,chiens_acceptes,livraison,livraison_sans_contact,service_de_drive,vente_a_emporter,repas_sur_place,code_plus
Aire de repos de corossony Chez Tonton,https://www.google.com/maps/place/Aire+de+repos+de+corossony+Chez+Tonton/data=!4m7!3m6!1s0x8d12e718a31a95f7:0x48efd10c68bd19ea!8m2!3d4.2983294!4d-52.1875797!16s%2Fg%2F11s92nm_41!19sChIJ95UaoxjnEo0R6hm9aAzR70g?authuser=0&hl=fr&rclk=1,Restaurant,"Lottissement agricole de corossony, Bo, Régina 97390, Guyane française",+594 694 44 68 82,,"4,7",30,non,,,,,,oui,
Gingembre Nouveau,https://www.google.com/maps/place/Gingembre+Nouveau/data=!4m7!3m6!1s0x8d12ff0007866d31:0x6ce681a05b75b69d!8m2!3d4.4860877!4d-52.0372132!16s%2Fg%2F11w26l53ck!19sChIJMW2GBwD_Eo0RnbZ1W6CB5mw?authuser=0&hl=fr&rclk=1,Restaurant,"Régina, 99, 97390 Kaw, Régina, Guyane française",+594 594 27 04 65,instagram.com,"4,3",10,non,,,,,,oui,
Gingembre.Nouveau,https://www.google.com/maps/place/Gingembre.Nouveau/data=!4m7!3m6!1s0x8d12ff9a82954851:0x9cfcf40ba69d2990!8m2!3d4.5146584!4d-52.0665743!16s%2Fg%2F11yggv7m23!19sChIJUUiVgpr_Eo0RkCmdpgv0_Jw?authuser=0&hl=fr&rclk=1,Restaurant créole,"GINGEMBRE NOUVEAU, BOURG DE KAW, Régina 97390, Guyane française",+594 694 22 81 01,,5,1,non,,,,,,,
Auberge du Mahury,https://www.google.com/maps/place/Auberge+du+Mahury/data=!4m7!3m6!1s0x8d123f0767ec9bfb:0x87ff6042e1fca3!8m2!3d4.8311449!4d-52.2971611!16s%2Fg%2F11qk7nxm67!19sChIJ-5vsZwc_Eo0Ro_zhQmD_hwA?authuser=0&hl=fr&rclk=1,Restaurant,"Chem. de la Levée, Matoury 97351, Guyane française",+594 694 45 23 10,mahury.fr,"4,6",224,oui,,non,,,,oui,"RPJ3+F4 Matoury, Guyane française"
Auberge des orpailleurs,https://www.google.com/maps/place/Auberge+des+orpailleurs/data=!4m10!3m9!1s0x8d12f5287d603bb1:0x8547b405ce783871!5m2!4m1!1i2!8m2!3d4.5110186!4d-52.3512808!16s%2Fg%2F12hx3lypw!19sChIJsTtgfSj1Eo0RcTh4zgW0R4U?authuser=0&hl=fr&rclk=1,,"PK62 RN2 Route de l'est, Roura cacao 97352, Guyane française",09 70 44 78 55,,"4,3",6,non,,,,,,,
L'EMPIRE,https://www.google.com/maps/place/L%27EMPIRE/data=!4m7!3m6!1s0x8d12e7dacd039779:0xc2b8b33ed1c9273d!8m2!3d4.3154132!4d-52.1301597!16s%2Fg%2F11h0hqgsqg!19sChIJeZcDzdrnEo0RPSfJ0T6zuMI?authuser=0&hl=fr&rclk=1,,"8V89+5W8, D20, Régina 97353, Guyane française",+594 694 26 76 87,,"4,2",29,non,,,,,,,
Auberge de l'Approuague,https://www.google.com/maps/place/Auberge+de+l%27Approuague/data=!4m7!3m6!1s0x8d12e7eace6fb98d:0x74d36e94311c52f5!8m2!3d4.2802146!4d-52.1704999!16s%2Fg%2F1v470d5j!19sChIJjblvzurnEo0R9VIcMZRu03Q?authuser=0&hl=fr&rclk=1,Restaurant,"Régina 97390, Guyane française",+594 694 44 69 79,aubergedelapprouague.com,"3,2",76,non,,,,,,,
Le Bœuf Au Jardin,https://www.google.com/maps/place/Le+B%C5%93uf+Au+Jardin/data=!4m7!3m6!1s0x8d123cc47b1dffe5:0x36db0b829c0edbc5!8m2!3d4.9309264!4d-52.3047498!16s%2Fg%2F11c1_v42vl!19sChIJ5f8de8Q8Eo0RxdsOnIIL2zY?authuser=0&hl=fr&rclk=1,Restaurant,"1763 Rte de Baduel, Cayenne 97300, Guyane française",+594 694 46 37 41,leboeufaujardin.com,"4,5",464,oui,,non,,,,oui,"WMJW+94 Cayenne, Guyane française"
LA PETITE MAISON,https://www.google.com/maps/place/LA+PETITE+MAISON/data=!4m7!3m6!1s0x8d123d2e3bed791d:0x9a6796add5c8bde2!8m2!3d4.9399917!4d-52.3285702!16s%2Fg%2F1tdryc1v!19sChIJHXntOy49Eo0R4r3I1a2WZ5o?authuser=0&hl=fr&rclk=1,Restaurant français,"23 Rue du Gouv.gl Felix Eboue, Cayenne 97300, Guyane française",+594 594 38 58 39,restaurantlapetitemaison.com,"4,3",433,oui,,,,,oui,oui,"WMQC+XH Cayenne, Guyane française"
Le Spot Rooftop,https://www.google.com/maps/place/Le+Spot+Rooftop/data=!4m7!3m6!1s0x8d123d399e75da59:0xf046be8aced3404d!8m2!3d4.943665!4d-52.3215344!16s%2Fg%2F11rn80llx4!19sChIJWdp1njk9Eo0RTUDTzoq-RvA?authuser=0&hl=fr&rclk=1,Restaurant,"97300 Av. Pasteur, Cayenne 97300, Guyane française",+594 694 21 20 10,lespotrooftop.com,"4,2",171,oui,,,,,oui,oui,"WMVH+F9 Cayenne, Guyane française"
